"","variable","activity","subject","average"
"68","fBodyAcc-mean-X","STANDING",8,-0.988219862222222
"69","fBodyAcc-mean-X","STANDING",9,-0.971662692
"70","fBodyAcc-mean-X","STANDING",10,-0.970099814318182
"71","fBodyAcc-mean-X","STANDING",11,-0.993808050638298
"72","fBodyAcc-mean-X","STANDING",12,-0.976469472295082
"73","fBodyAcc-mean-X","STANDING",13,-0.989425965614035
"74","fBodyAcc-mean-X","STANDING",14,-0.9726995625
"75","fBodyAcc-mean-X","STANDING",15,-0.986724998867925
"76","fBodyAcc-mean-X","STANDING",16,-0.989427670897436
"77","fBodyAcc-mean-X","STANDING",17,-0.990927533846154
"78","fBodyAcc-mean-X","STANDING",18,-0.990409919315068
"79","fBodyAcc-mean-X","STANDING",19,-0.987352048356164
"80","fBodyAcc-mean-X","STANDING",20,-0.96193272890411
"81","fBodyAcc-mean-X","STANDING",21,-0.978327686179775
"82","fBodyAcc-mean-X","STANDING",22,-0.980373909206349
"83","fBodyAcc-mean-X","STANDING",23,-0.983627197058824
"84","fBodyAcc-mean-X","STANDING",24,-0.984183633623188
"85","fBodyAcc-mean-X","STANDING",25,-0.990093202837838
"86","fBodyAcc-mean-X","STANDING",26,-0.991993372297297
"87","fBodyAcc-mean-X","STANDING",27,-0.99012181225
"88","fBodyAcc-mean-X","STANDING",28,-0.97251980164557
"89","fBodyAcc-mean-X","STANDING",29,-0.995024039692308
"90","fBodyAcc-mean-X","STANDING",30,-0.972014050847458
"91","fBodyAcc-mean-X","WALKING",1,-0.202794306326316
"92","fBodyAcc-mean-X","WALKING",2,-0.346048161016949
"93","fBodyAcc-mean-X","WALKING",3,-0.316614011689655
"94","fBodyAcc-mean-X","WALKING",4,-0.426719449666667
"95","fBodyAcc-mean-X","WALKING",5,-0.287782607410714
"96","fBodyAcc-mean-X","WALKING",6,-0.187934323140351
"97","fBodyAcc-mean-X","WALKING",7,-0.343048405789474
"98","fBodyAcc-mean-X","WALKING",8,-0.247389011875
"99","fBodyAcc-mean-X","WALKING",9,-0.294711163653846
"100","fBodyAcc-mean-X","WALKING",10,-0.114190001283019
"101","fBodyAcc-mean-X","WALKING",11,-0.396533731864407
"102","fBodyAcc-mean-X","WALKING",12,-0.05435763951
"103","fBodyAcc-mean-X","WALKING",13,-0.335030121052632
"104","fBodyAcc-mean-X","WALKING",14,-0.421498172542373
"105","fBodyAcc-mean-X","WALKING",15,-0.31744092037037
"106","fBodyAcc-mean-X","WALKING",16,-0.394790433529412
"107","fBodyAcc-mean-X","WALKING",17,-0.360991674918033
"108","fBodyAcc-mean-X","WALKING",18,-0.37147515625
"109","fBodyAcc-mean-X","WALKING",19,-0.0299815666923077
"110","fBodyAcc-mean-X","WALKING",20,-0.147404272166667
"111","fBodyAcc-mean-X","WALKING",21,-0.273496158519231
"112","fBodyAcc-mean-X","WALKING",22,-0.0994928588891304
"113","fBodyAcc-mean-X","WALKING",23,-0.275404187920339
"114","fBodyAcc-mean-X","WALKING",24,-0.492419802586207
"115","fBodyAcc-mean-X","WALKING",25,-0.609038908918919
"116","fBodyAcc-mean-X","WALKING",26,-0.321959549661017
"117","fBodyAcc-mean-X","WALKING",27,-0.308702374385965
"118","fBodyAcc-mean-X","WALKING",28,-0.280062182962963
"119","fBodyAcc-mean-X","WALKING",29,-0.135819505761321
"120","fBodyAcc-mean-X","WALKING",30,-0.351402910907692
"121","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",1,0.0382291831510204
"122","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",2,0.112841160325532
"123","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",3,-0.0421706943244898
"124","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",4,-0.0722392276888889
"125","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",5,0.0984320090212766
"126","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",6,0.328308506041667
"127","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",7,0.0443428315319149
"128","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",8,0.136590199860526
"129","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",9,0.103128506197619
"130","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",10,0.215665273157895
"131","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",11,0.0351937228130435
"132","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",12,0.0235049348717391
"133","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",13,-0.0726602663212766
"134","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",14,0.0212541553977778
"135","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",15,0.235309825547619
"136","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",16,0.0368263528276596
"137","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",17,-0.0226239171245652
"138","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",18,-0.350086793272727
"139","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",19,0.537012022051282
"140","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",20,-0.0343309987555556
"141","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",21,0.104323529982222
"142","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",22,0.195348406222222
"143","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",23,0.205428216353704
"144","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",24,-0.222324293454545
"145","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",25,-0.372245192931034
"146","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",26,0.022800096142
"147","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",27,0.0829831545090909
"148","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",28,0.0890721752173913
"149","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",29,0.110663200244167
"150","fBodyAcc-mean-X","WALKING_DOWNSTAIRS",30,-0.106966957087097
"151","fBodyAcc-mean-X","WALKING_UPSTAIRS",1,-0.404321784150943
"152","fBodyAcc-mean-X","WALKING_UPSTAIRS",2,-0.266720933270833
"153","fBodyAcc-mean-X","WALKING_UPSTAIRS",3,-0.392004211474576
"154","fBodyAcc-mean-X","WALKING_UPSTAIRS",4,-0.294488270365385
"155","fBodyAcc-mean-X","WALKING_UPSTAIRS",5,-0.161485339978723
"156","fBodyAcc-mean-X","WALKING_UPSTAIRS",6,-0.131075372803922
"157","fBodyAcc-mean-X","WALKING_UPSTAIRS",7,-0.336199426470588
"158","fBodyAcc-mean-X","WALKING_UPSTAIRS",8,-0.166411065387805
"159","fBodyAcc-mean-X","WALKING_UPSTAIRS",9,-0.342735952653061
"160","fBodyAcc-mean-X","WALKING_UPSTAIRS",10,-0.139410790617021
"161","fBodyAcc-mean-X","WALKING_UPSTAIRS",11,-0.355348902222222
"162","fBodyAcc-mean-X","WALKING_UPSTAIRS",12,-0.321447925192308
"163","fBodyAcc-mean-X","WALKING_UPSTAIRS",13,-0.382460736363636
"164","fBodyAcc-mean-X","WALKING_UPSTAIRS",14,-0.323508442240741
"165","fBodyAcc-mean-X","WALKING_UPSTAIRS",15,-0.0746328434375
"166","fBodyAcc-mean-X","WALKING_UPSTAIRS",16,-0.474984014705882
"167","fBodyAcc-mean-X","WALKING_UPSTAIRS",17,-0.1397522212625
"168","fBodyAcc-mean-X","WALKING_UPSTAIRS",18,-0.465097261896552
"169","fBodyAcc-mean-X","WALKING_UPSTAIRS",19,-0.15687949467775
"170","fBodyAcc-mean-X","WALKING_UPSTAIRS",20,-0.140439074776471
"171","fBodyAcc-mean-X","WALKING_UPSTAIRS",21,-0.319169340234043
"172","fBodyAcc-mean-X","WALKING_UPSTAIRS",22,-0.0553996485285714
"173","fBodyAcc-mean-X","WALKING_UPSTAIRS",23,-0.272605689568627
"174","fBodyAcc-mean-X","WALKING_UPSTAIRS",24,-0.395790553898305
"175","fBodyAcc-mean-X","WALKING_UPSTAIRS",25,-0.521649838769231
"176","fBodyAcc-mean-X","WALKING_UPSTAIRS",26,-0.242820756127273
"177","fBodyAcc-mean-X","WALKING_UPSTAIRS",27,-0.417607401176471
"178","fBodyAcc-mean-X","WALKING_UPSTAIRS",28,-0.266101343372549
"179","fBodyAcc-mean-X","WALKING_UPSTAIRS",29,-0.109793480008163
"180","fBodyAcc-mean-X","WALKING_UPSTAIRS",30,-0.420402828153846
"181","fBodyAcc-mean-Y","LAYING",1,-0.86706520518
"182","fBodyAcc-mean-Y","LAYING",2,-0.979800877916667
"183","fBodyAcc-mean-Y","LAYING",3,-0.961169982903226
"184","fBodyAcc-mean-Y","LAYING",4,-0.938883374444444
"185","fBodyAcc-mean-Y","LAYING",5,-0.965419520961538
"186","fBodyAcc-mean-Y","LAYING",6,-0.923706791403509
"187","fBodyAcc-mean-Y","LAYING",7,-0.942193953846154
"188","fBodyAcc-mean-Y","LAYING",8,-0.951816663703704
"189","fBodyAcc-mean-Y","LAYING",9,-0.9343665984
"190","fBodyAcc-mean-Y","LAYING",10,-0.954341849137931
"191","fBodyAcc-mean-Y","LAYING",11,-0.971403935438596
"192","fBodyAcc-mean-Y","LAYING",12,-0.951265971
"193","fBodyAcc-mean-Y","LAYING",13,-0.965843757258064
"194","fBodyAcc-mean-Y","LAYING",14,-0.930366906078431
"195","fBodyAcc-mean-Y","LAYING",15,-0.962461124305556
"196","fBodyAcc-mean-Y","LAYING",16,-0.963635575142857
"197","fBodyAcc-mean-Y","LAYING",17,-0.954648102253521
"198","fBodyAcc-mean-Y","LAYING",18,-0.984909884615385
"199","fBodyAcc-mean-Y","LAYING",19,-0.972798824096386
"200","fBodyAcc-mean-Y","LAYING",20,-0.965595958382353
"201","fBodyAcc-mean-Y","LAYING",21,-0.960069247
"202","fBodyAcc-mean-Y","LAYING",22,-0.925524703472222
"203","fBodyAcc-mean-Y","LAYING",23,-0.982072295833333
"204","fBodyAcc-mean-Y","LAYING",24,-0.980830362083333
"205","fBodyAcc-mean-Y","LAYING",25,-0.78494581909589
"206","fBodyAcc-mean-Y","LAYING",26,-0.983664034342105
"207","fBodyAcc-mean-Y","LAYING",27,-0.982915951891892
"208","fBodyAcc-mean-Y","LAYING",28,-0.958436369
"209","fBodyAcc-mean-Y","LAYING",29,-0.989034304057971
"210","fBodyAcc-mean-Y","LAYING",30,-0.959974274571429
"211","fBodyAcc-mean-Y","SITTING",1,-0.944084550425532
"212","fBodyAcc-mean-Y","SITTING",2,-0.957343498478261
"213","fBodyAcc-mean-Y","SITTING",3,-0.891907751346154
"214","fBodyAcc-mean-Y","SITTING",4,-0.9057829318
"215","fBodyAcc-mean-Y","SITTING",5,-0.921434735681818
"216","fBodyAcc-mean-Y","SITTING",6,-0.928264365454545
"217","fBodyAcc-mean-Y","SITTING",7,-0.93149063375
"218","fBodyAcc-mean-Y","SITTING",8,-0.94421971826087
"219","fBodyAcc-mean-Y","SITTING",9,-0.911683219
"220","fBodyAcc-mean-Y","SITTING",10,-0.9404502
"221","fBodyAcc-mean-Y","SITTING",11,-0.934503182830189
"222","fBodyAcc-mean-Y","SITTING",12,-0.942768016862745
"223","fBodyAcc-mean-Y","SITTING",13,-0.959673916122449
"224","fBodyAcc-mean-Y","SITTING",14,-0.932644766111111
"225","fBodyAcc-mean-Y","SITTING",15,-0.938926430779661
"226","fBodyAcc-mean-Y","SITTING",16,-0.961456685507246
"227","fBodyAcc-mean-Y","SITTING",17,-0.96992798921875
"228","fBodyAcc-mean-Y","SITTING",18,-0.976538530350877
"229","fBodyAcc-mean-Y","SITTING",19,-0.960763181917808
"230","fBodyAcc-mean-Y","SITTING",20,-0.945198619242424
"231","fBodyAcc-mean-Y","SITTING",21,-0.968060947058824
"232","fBodyAcc-mean-Y","SITTING",22,-0.939546007903226
"233","fBodyAcc-mean-Y","SITTING",23,-0.953460406470588
"234","fBodyAcc-mean-Y","SITTING",24,-0.962773200147059
"235","fBodyAcc-mean-Y","SITTING",25,-0.959117259384615
"236","fBodyAcc-mean-Y","SITTING",26,-0.954299410641026
"237","fBodyAcc-mean-Y","SITTING",27,-0.974057855571429
"238","fBodyAcc-mean-Y","SITTING",28,-0.946351650416667
"239","fBodyAcc-mean-Y","SITTING",29,-0.969609501666667
"240","fBodyAcc-mean-Y","SITTING",30,-0.954076042258065
"241","fBodyAcc-mean-Y","STANDING",1,-0.977070847735849
"242","fBodyAcc-mean-Y","STANDING",2,-0.959871697407407
"243","fBodyAcc-mean-Y","STANDING",3,-0.908075353770492
"244","fBodyAcc-mean-Y","STANDING",4,-0.889549205
"245","fBodyAcc-mean-Y","STANDING",5,-0.890796360535714
"246","fBodyAcc-mean-Y","STANDING",6,-0.930336471754386
"247","fBodyAcc-mean-Y","STANDING",7,-0.941883783773585
"248","fBodyAcc-mean-Y","STANDING",8,-0.9500491
"249","fBodyAcc-mean-Y","STANDING",9,-0.944849431777778
"250","fBodyAcc-mean-Y","STANDING",10,-0.923378745227273
"251","fBodyAcc-mean-Y","STANDING",11,-0.968703072553191
"252","fBodyAcc-mean-Y","STANDING",12,-0.932775677704918
"253","fBodyAcc-mean-Y","STANDING",13,-0.959427618245614
"254","fBodyAcc-mean-Y","STANDING",14,-0.942178248333333
"255","fBodyAcc-mean-Y","STANDING",15,-0.943348788679245
"256","fBodyAcc-mean-Y","STANDING",16,-0.96931401525641
"257","fBodyAcc-mean-Y","STANDING",17,-0.97417056948718
"258","fBodyAcc-mean-Y","STANDING",18,-0.961239135479452
"259","fBodyAcc-mean-Y","STANDING",19,-0.952872872465753
"260","fBodyAcc-mean-Y","STANDING",20,-0.898194212465753
"261","fBodyAcc-mean-Y","STANDING",21,-0.949694904269663
"262","fBodyAcc-mean-Y","STANDING",22,-0.929161387619048
"263","fBodyAcc-mean-Y","STANDING",23,-0.962831825294118
"264","fBodyAcc-mean-Y","STANDING",24,-0.948970158405797
"265","fBodyAcc-mean-Y","STANDING",25,-0.959846189054054
"266","fBodyAcc-mean-Y","STANDING",26,-0.958402317837838
"267","fBodyAcc-mean-Y","STANDING",27,-0.961356141125
"268","fBodyAcc-mean-Y","STANDING",28,-0.893430392658228
"269","fBodyAcc-mean-Y","STANDING",29,-0.973345770461538
"270","fBodyAcc-mean-Y","STANDING",30,-0.919475121186441
"271","fBodyAcc-mean-Y","WALKING",1,0.0897127264021053
"272","fBodyAcc-mean-Y","WALKING",2,-0.0219048103322034
"273","fBodyAcc-mean-Y","WALKING",3,-0.0813024353275862
"274","fBodyAcc-mean-Y","WALKING",4,-0.14939963344
"275","fBodyAcc-mean-Y","WALKING",5,0.00946037755178572
"276","fBodyAcc-mean-Y","WALKING",6,0.140781621991228
"277","fBodyAcc-mean-Y","WALKING",7,-0.0641564202736842
"278","fBodyAcc-mean-Y","WALKING",8,0.316982393333333
"279","fBodyAcc-mean-Y","WALKING",9,-0.257677616153846
"280","fBodyAcc-mean-Y","WALKING",10,0.0533911909886792
"281","fBodyAcc-mean-Y","WALKING",11,-0.0830478435976271
"282","fBodyAcc-mean-Y","WALKING",12,-0.071302455092
"283","fBodyAcc-mean-Y","WALKING",13,0.0955150666694737
"284","fBodyAcc-mean-Y","WALKING",14,-0.174601844847458
"285","fBodyAcc-mean-Y","WALKING",15,0.111321097159074
"286","fBodyAcc-mean-Y","WALKING",16,-0.321500667843137
"287","fBodyAcc-mean-Y","WALKING",17,-0.0650267622126229
"288","fBodyAcc-mean-Y","WALKING",18,-0.24360627125
"289","fBodyAcc-mean-Y","WALKING",19,0.169258575663077
"290","fBodyAcc-mean-Y","WALKING",20,0.403465950921569
"291","fBodyAcc-mean-Y","WALKING",21,0.0338465813711538
"292","fBodyAcc-mean-Y","WALKING",22,0.145367520371739
"293","fBodyAcc-mean-Y","WALKING",23,-0.0724367317966102
"294","fBodyAcc-mean-Y","WALKING",24,-0.203193741396552
"295","fBodyAcc-mean-Y","WALKING",25,-0.251880271094595
"296","fBodyAcc-mean-Y","WALKING",26,-0.146702156576271
"297","fBodyAcc-mean-Y","WALKING",27,-0.13678354122807
"298","fBodyAcc-mean-Y","WALKING",28,-0.127912276044444
"299","fBodyAcc-mean-Y","WALKING",29,-0.0349642325433962
"300","fBodyAcc-mean-Y","WALKING",30,-0.193856663907692
"301","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",1,0.00154990783591837
"302","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",2,0.278345041765957
"303","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",3,-0.00770048300204082
"304","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",4,-0.129606639466667
"305","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",5,0.0792280694042553
"306","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",6,0.339771173822917
"307","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",7,-0.145302311446808
"308","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",8,0.388412779763158
"309","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",9,-0.183120455428571
"310","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",10,0.00904660360263158
"311","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",11,0.0247508134326087
"312","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",12,0.150510001156522
"313","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",13,-0.0364535247659574
"314","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",14,0.3714824704
"315","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",15,0.167518099964286
"316","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",16,-0.134598352726809
"317","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",17,-0.130272514565217
"318","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",18,-0.309049613818182
"319","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",19,0.494457802230769
"320","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",20,0.524187686888889
"321","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",21,0.181138042506667
"322","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",22,0.225766560777778
"323","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",23,0.0959432893981482
"324","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",24,-0.0861829752472727
"325","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",25,-0.196381053741379
"326","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",26,-0.006237000044
"327","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",27,-0.0626729573068182
"328","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",28,0.186441733869565
"329","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",29,-0.02122937175
"330","fBodyAcc-mean-Y","WALKING_DOWNSTAIRS",30,-0.0216637054241935
"331","fBodyAcc-mean-Y","WALKING_UPSTAIRS",1,-0.190976720811321
"332","fBodyAcc-mean-Y","WALKING_UPSTAIRS",2,0.00992445881854167
"333","fBodyAcc-mean-Y","WALKING_UPSTAIRS",3,-0.0788094156644068
"334","fBodyAcc-mean-Y","WALKING_UPSTAIRS",4,-0.117109161492308
"335","fBodyAcc-mean-Y","WALKING_UPSTAIRS",5,0.0728903158085106
"336","fBodyAcc-mean-Y","WALKING_UPSTAIRS",6,0.0978035099588235
"337","fBodyAcc-mean-Y","WALKING_UPSTAIRS",7,-0.381590523137255
"338","fBodyAcc-mean-Y","WALKING_UPSTAIRS",8,0.263431399878049
"339","fBodyAcc-mean-Y","WALKING_UPSTAIRS",9,-0.405022798163265
"340","fBodyAcc-mean-Y","WALKING_UPSTAIRS",10,-0.0390688222212766
"341","fBodyAcc-mean-Y","WALKING_UPSTAIRS",11,-0.254645206944444
"342","fBodyAcc-mean-Y","WALKING_UPSTAIRS",12,-0.168341519859615
"343","fBodyAcc-mean-Y","WALKING_UPSTAIRS",13,-0.0636564765818182
"344","fBodyAcc-mean-Y","WALKING_UPSTAIRS",14,0.0163939234574074
"345","fBodyAcc-mean-Y","WALKING_UPSTAIRS",15,-0.1019354328
"346","fBodyAcc-mean-Y","WALKING_UPSTAIRS",16,-0.268063812745098
"347","fBodyAcc-mean-Y","WALKING_UPSTAIRS",17,-0.1175197356
"348","fBodyAcc-mean-Y","WALKING_UPSTAIRS",18,-0.363450742586207
"349","fBodyAcc-mean-Y","WALKING_UPSTAIRS",19,0.111818164225
"350","fBodyAcc-mean-Y","WALKING_UPSTAIRS",20,-0.0293832440223529
"351","fBodyAcc-mean-Y","WALKING_UPSTAIRS",21,0.0221598658106383
"352","fBodyAcc-mean-Y","WALKING_UPSTAIRS",22,0.13068653882619
"353","fBodyAcc-mean-Y","WALKING_UPSTAIRS",23,-0.0769773944803922
"354","fBodyAcc-mean-Y","WALKING_UPSTAIRS",24,-0.252412541966102
"355","fBodyAcc-mean-Y","WALKING_UPSTAIRS",25,-0.380150805384615
"356","fBodyAcc-mean-Y","WALKING_UPSTAIRS",26,-0.185528313272727
"357","fBodyAcc-mean-Y","WALKING_UPSTAIRS",27,-0.249688517843137
"358","fBodyAcc-mean-Y","WALKING_UPSTAIRS",28,-0.190589069119608
"359","fBodyAcc-mean-Y","WALKING_UPSTAIRS",29,-0.196011503540816
"360","fBodyAcc-mean-Y","WALKING_UPSTAIRS",30,-0.297813768569231
"361","fBodyAcc-mean-Z","LAYING",1,-0.8826668762
"362","fBodyAcc-mean-Z","LAYING",2,-0.984380981875
"363","fBodyAcc-mean-Z","LAYING",3,-0.968332141612903
"364","fBodyAcc-mean-Z","LAYING",4,-0.967504278888889
"365","fBodyAcc-mean-Z","LAYING",5,-0.977007724615385
"366","fBodyAcc-mean-Z","LAYING",6,-0.938044912280702
"367","fBodyAcc-mean-Z","LAYING",7,-0.958611644615385
"368","fBodyAcc-mean-Z","LAYING",8,-0.944269514074074
"369","fBodyAcc-mean-Z","LAYING",9,-0.9459190006
"370","fBodyAcc-mean-Z","LAYING",10,-0.964300845172414
"371","fBodyAcc-mean-Z","LAYING",11,-0.973576812807018
"372","fBodyAcc-mean-Z","LAYING",12,-0.954724801666667
"373","fBodyAcc-mean-Z","LAYING",13,-0.966295582741935
"374","fBodyAcc-mean-Z","LAYING",14,-0.927882307058824
"375","fBodyAcc-mean-Z","LAYING",15,-0.95156594625
"376","fBodyAcc-mean-Z","LAYING",16,-0.974580069142857
"377","fBodyAcc-mean-Z","LAYING",17,-0.965406091549296
"378","fBodyAcc-mean-Z","LAYING",18,-0.988606906307692
"379","fBodyAcc-mean-Z","LAYING",19,-0.985340447349398
"380","fBodyAcc-mean-Z","LAYING",20,-0.976392651323529
"381","fBodyAcc-mean-Z","LAYING",21,-0.961772190555556
"382","fBodyAcc-mean-Z","LAYING",22,-0.954219235555556
"383","fBodyAcc-mean-Z","LAYING",23,-0.977515213888889
"384","fBodyAcc-mean-Z","LAYING",24,-0.976634815694444
"385","fBodyAcc-mean-Z","LAYING",25,-0.816197953561644
"386","fBodyAcc-mean-Z","LAYING",26,-0.984923123552632
"387","fBodyAcc-mean-Z","LAYING",27,-0.987356589864865
"388","fBodyAcc-mean-Z","LAYING",28,-0.961115672375
"389","fBodyAcc-mean-Z","LAYING",29,-0.989473926666667
"390","fBodyAcc-mean-Z","LAYING",30,-0.970321991714286
"391","fBodyAcc-mean-Z","SITTING",1,-0.959184889148936
"392","fBodyAcc-mean-Z","SITTING",2,-0.970162172608696
"393","fBodyAcc-mean-Z","SITTING",3,-0.917987925384615
"394","fBodyAcc-mean-Z","SITTING",4,-0.9517837432
